Cube (15),(25.0, -7.0, -44.0),(1.0, 1.0, 1.0),pb_Mesh99482,(0.0, -0.4, 0.0, 0.9),Untagged
Cube (9),(18.0, -7.0, -29.0),(1.0, 1.0, 1.0),pb_Mesh100178,(0.0, 0.3, 0.0, 0.9),Untagged
Cube (49),(16.3, -7.7, -39.1),(1.0, 1.0, 1.0),pb_Mesh99458,(0.0, 0.1, -0.1, 1.0),Untagged
Cube (11),(4.4, -7.0, -49.6),(1.0, 1.0, 1.0),pb_Mesh99370,(0.0, -0.4, 0.0, 0.9),Untagged
Cube (10),(-2.6, -7.0, -41.2),(1.0, 1.0, 1.0),pb_Mesh99210,(0.0, -0.3, 0.0, 0.9),Untagged
Cube (14),(-13.9, -7.0, -40.1),(1.0, 1.0, 1.0),pb_Mesh99830,(0.0, -0.7, 0.0, 0.8),Untagged
Cube (27),(-28.0, -7.0, -35.0),(1.0, 1.0, 1.0),pb_Mesh100026,(0.0, -0.5, 0.0, 0.9),Untagged
Cube (37),(-16.1, -15.1, -22.9),(1.0, 1.0, 1.0),pb_Mesh100212,(-0.1, -0.4, 0.3, 0.9),Untagged
Cylinder,(11.0, -3.0, 0.0),(1.0, 1.0, 1.0),pb_Mesh99508,(0.0, 0.0, 0.0, 1.0),Untagged
Cube (48),(10.8, -7.0, 11.8),(1.0, 1.0, 1.0),pb_Mesh99166,(0.0, 0.7, 0.0, 0.7),Untagged
Cube (57),(9.0, -4.0, 2.0),(1.0, 1.0, 1.0),pb_Mesh99426,(0.0, 0.9, 0.0, 0.5),Untagged
Cube (58),(13.0, -3.0, 7.0),(1.0, 1.0, 1.0),pb_Mesh100166,(0.0, 1.0, 0.0, 0.1),Untagged
Cube (12),(-9.0, -7.0, -35.8),(1.0, 1.0, 1.0),pb_Mesh99224,(0.0, -0.4, 0.0, 0.9),Untagged
Cube (16),(39.3, -7.0, -15.0),(1.0, 1.0, 1.0),pb_Mesh99056,(0.0, -0.9, 0.0, 0.4),Untagged
Cube (17),(37.0, -7.0, -25.0),(1.0, 1.0, 1.0),pb_Mesh99602,(0.0, -0.3, 0.0, 1.0),Untagged
Rock (4),(44.6, -6.6, -33.3),(3.7, 3.7, 3.7),default,(0.5, -0.5, -0.5, 0.5),Untagged
Rock (3),(40.8, -7.5, -37.5),(6.9, 6.9, 6.9),default,(0.7, 0.3, -0.4, 0.5),Untagged
Cube (18),(50.0, -7.0, -18.0),(1.0, 1.0, 1.0),pb_Mesh99562,(0.0, -0.7, 0.0, 0.7),Untagged
Cube (44),(50.8, -7.0, 4.2),(1.0, 1.0, 1.0),pb_Mesh99922,(0.0, -0.7, 0.0, -0.7),Untagged
Cube (52),(55.4, -7.0, -7.2),(1.0, 1.0, 1.0),pb_Mesh99072,(0.0, -0.8, 0.0, 0.7),Untagged
Cube (42),(53.9, -6.9, 10.0),(1.0, 1.0, 1.0),pb_Mesh99190,(0.2, -0.8, 0.3, 0.4),Untagged
Cube (43),(52.8, -7.0, 22.2),(1.0, 1.0, 1.0),pb_Mesh99868,(0.0, -0.9, 0.0, 0.4),Untagged
Cube (21),(25.6, -7.0, 6.8),(1.0, 1.0, 1.0),pb_Mesh99494,(0.0, -0.3, 0.0, 1.0),Untagged
Cube (25),(18.9, -7.0, 10.8),(1.0, 1.0, 1.0),pb_Mesh99032,(0.0, 0.3, 0.0, 1.0),Untagged
Crate (6),(23.4, -6.0, 1.3),(0.5, 0.5, 0.5),pb_Mesh-546064,(0.0, 0.0, 0.0, 1.0),Untagged
Cube (24),(28.4, -10.9, 10.9),(1.0, 1.0, 1.0),pb_Mesh99264,(-0.1, -0.7, 0.2, 0.7),Untagged
Cube (54),(32.6, -7.0, 23.2),(1.0, 1.0, 1.0),pb_Mesh99880,(0.0, -0.3, 0.0, 1.0),Untagged
Cube (32),(32.0, -7.0, 29.0),(1.0, 1.0, 1.0),pb_Mesh99730,(0.0, -0.7, 0.0, 0.7),Untagged
Cube (53),(40.5, -7.0, 33.8),(1.0, 1.0, 1.0),pb_Mesh100244,(0.0, -0.6, 0.0, 0.8),Untagged
Cube (56),(34.2, -0.8, 38.0),(1.0, 1.0, 1.0),pb_Mesh100058,(0.0, -0.8, 0.0, 0.6),Untagged
Cube (55),(22.8, -7.0, 39.6),(1.0, 1.0, 1.0),pb_Mesh99008,(0.0, -0.3, 0.0, 1.0),Untagged
Cube (22),(18.0, -7.0, 18.0),(1.0, 1.0, 1.0),pb_Mesh99664,(0.0, -0.3, 0.0, 1.0),Untagged
Rock (1),(9.4, -7.4, 23.3),(5.5, 5.5, 5.5),default,(0.8, 0.0, 0.0, 0.6),Untagged
Rock (2),(13.0, -7.2, 23.5),(2.7, 2.7, 2.7),default,(0.6, -0.4, -0.6, 0.4),Untagged
Cube (35),(1.0, -16.0, 37.0),(1.0, 1.0, 1.0),pb_Mesh98932,(-0.3, -0.7, 0.3, 0.6),Untagged
Cube (33),(-6.0, -14.0, 33.0),(1.0, 1.0, 1.0),pb_Mesh99652,(-0.2, -0.7, -0.2, -0.7),Untagged
Cube (34),(-8.0, -7.0, 46.0),(1.0, 1.0, 1.0),pb_Mesh100134,(0.0, -0.7, 0.0, 0.7),Untagged
Cube (59),(-11.0, -4.0, 10.0),(1.0, 1.0, 1.0),pb_Mesh99818,(0.0, 0.7, 0.0, 0.7),Untagged
Cube (5),(-34.4, -7.0, 5.0),(1.0, 1.0, 1.0),pb_Mesh99764,(0.0, -0.4, 0.0, 0.9),Untagged
Cube (6),(-22.2, -7.0, 10.0),(1.0, 1.0, 1.0),pb_Mesh100038,(0.0, -1.0, 0.0, 0.3),Untagged
Cube (39),(-20.0, -7.0, 23.0),(1.0, 1.0, 1.0),pb_Mesh100192,(0.0, -0.4, 0.0, 0.9),Untagged
Cube (60),(-14.2, -9.4, 35.8),(1.0, 1.0, 1.0),pb_Mesh100010,(-0.1, 0.1, -0.1, 1.0),Untagged
Cube (38),(-25.4, -7.0, 31.6),(1.0, 1.0, 1.0),pb_Mesh99358,(0.0, -0.9, 0.0, 0.4),Untagged
Ladder (5),(-37.2, -3.0, 36.4),(1.0, 1.0, 1.0),pb_Mesh-546022,(0.0, 0.5, 0.0, -0.9),Untagged
Cube (40),(-41.5, -7.0, 28.1),(1.0, 1.0, 1.0),pb_Mesh98944,(0.0, -0.9, 0.0, -0.4),Untagged
Cube (3),(-40.3, -7.0, 7.6),(1.0, 1.0, 1.0),pb_Mesh100074,(0.0, -0.3, 0.0, 0.9),Untagged
Ladder (6),(-29.1, -1.5, 9.3),(1.0, 1.0, 1.0),pb_Mesh-545568,(0.0, 0.2, 0.0, -1.0),Untagged
Cube (4),(-42.3, -7.0, -2.0),(1.0, 1.0, 1.0),pb_Mesh99304,(0.0, -0.4, 0.0, 0.9),Untagged
Cube (2),(-47.4, -7.0, 0.0),(1.0, 1.0, 1.0),pb_Mesh99084,(0.0, -0.4, 0.0, 0.9),Untagged
Rock,(-53.7, -7.5, 0.1),(7.2, 7.2, 7.2),default,(0.8, 0.0, 0.1, 0.6),Untagged
Cube (8),(-39.5, -7.0, -12.9),(1.0, 1.0, 1.0),pb_Mesh99696,(0.0, -0.9, 0.0, 0.3),Untagged
Cube (7),(-24.9, -7.0, -6.6),(1.0, 1.0, 1.0),pb_Mesh99534,(0.0, -0.9, 0.0, -0.3),Untagged
Ladder,(-32.4, -1.5, -6.6),(1.0, 1.0, 1.0),pb_Mesh-546008,(0.0, 0.9, 0.0, 0.4),Untagged
Cube (36),(-28.9, -15.8, -18.9),(1.0, 1.0, 1.0),pb_Mesh99618,(-0.4, -0.9, -0.1, -0.3),Untagged
Cube (29),(-38.5, -7.0, -30.5),(1.0, 1.0, 1.0),pb_Mesh99288,(0.0, -0.9, 0.0, 0.5),Untagged
Cube (26),(-33.0, -7.0, -31.0),(1.0, 1.0, 1.0),pb_Mesh99392,(0.0, 0.0, 0.0, 1.0),Untagged
Cube (28),(-29.0, -7.0, -41.0),(1.0, 1.0, 1.0),pb_Mesh100100,(0.0, -0.6, 0.0, 0.8),Untagged
Ladder (7),(-8.2, 7.0, -3.5),(1.0, 1.0, 1.0),pb_Mesh-545858,(0.0, 0.9, 0.0, -0.4),Untagged
Cube (46),(-16.3, 4.0, 8.5),(1.0, 1.0, 1.0),pb_Mesh99122,(0.0, -0.9, 0.0, 0.4),Untagged
Cube (41),(-33.4, -1.9, -2.9),(0.5, 0.5, 0.5),pb_Mesh99248,(-0.3, -0.8, 0.1, 0.5),Untagged
Ladder (8),(-42.3, 6.0, 20.5),(1.0, 1.0, 1.0),pb_Mesh-545914,(0.0, 0.4, 0.0, 0.9),Untagged
Crate (4),(-44.8, 14.0, 17.0),(0.5, 0.5, 0.5),pb_Mesh-545890,(0.0, -0.1, 0.0, 1.0),Untagged
Ladder (3),(-50.5, 14.5, -34.3),(1.0, 1.0, 1.0),pb_Mesh-546050,(0.0, -0.1, 0.0, 1.0),Untagged
Cube (30),(-47.0, 7.0, -38.0),(1.0, 1.0, 1.0),pb_Mesh98964,(0.0, -0.8, 0.0, 0.6),Untagged
Cube (31),(-45.0, 2.0, -36.0),(1.0, 1.0, 1.0),pb_Mesh99152,(0.0, -1.0, 0.0, 0.1),Untagged
Crate,(-36.5, 12.4, -36.4),(0.8, 0.8, 0.8),pb_Mesh-546076,(0.0, 0.2, 0.0, 1.0),Untagged
Ladder (2),(-38.1, 5.0, -30.9),(1.0, 1.0, 1.0),pb_Mesh-545982,(0.0, -0.2, 0.0, 1.0),Untagged
Cube (13),(0.2, -1.0, -33.6),(1.0, 1.0, 1.0),pb_Mesh99276,(0.0, -0.9, 0.0, -0.3),Untagged
Ladder (1),(-1.7, 4.0, -40.4),(1.0, 1.0, 1.0),pb_Mesh-545588,(0.0, 0.4, 0.0, 0.9),Untagged
Crate (1),(1.0, 0.8, -35.4),(1.0, 1.0, 1.0),pb_Mesh-545902,(0.0, 0.0, 0.0, 1.0),Untagged
Cube (50),(-4.6, -1.1, -50.0),(0.7, 0.7, 0.7),pb_Mesh99996,(0.0, -0.3, 0.0, 1.0),Untagged
Cube (20),(6.4, -0.6, -19.5),(1.0, 1.0, 1.0),pb_Mesh99910,(0.0, -0.9, 0.0, 0.4),Untagged
